ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
META,META-076,2025-11-06T11:30:00-05:00,2025-11-06T12:30:00-05:00,1,624.39,623.44,21.5051,630.6015,638.1633,-67.729,0.858,-37.271,accumulation,699.7577,-6.3758,-21.8636
META,META-077,2025-11-06T13:30:00-05:00,2025-11-06T14:30:00-05:00,1,624.755,621.4,21.5051,628.2864,635.7276,-61.98,5.416,6.608,accumulation,699.7577,-6.3758,-21.8636
META,META-078,2025-11-14T14:30:00-05:00,2025-11-18T09:30:00-05:00,9,610.0,586.8176,19.7629,610.5568,612.5696,-10.991,-4.387,4.487,neutral,664.5814,-5.4644,-16.4853
META,META-079,2025-11-20T11:30:00-05:00,2025-11-24T10:30:00-05:00,13,587.426,611.6529,19.246,591.2557,594.3513,-17.589,-13.745,19.769,neutral,643.8544,-5.3514,-15.7478
META,META-080,2025-12-02T09:30:00-05:00,2025-12-02T14:30:00-05:00,5,642.2525,647.005,17.9835,641.5397,637.1103,39.447,-0.303,-13.931,neutral_up,635.1267,0.5763,1.9651
META,META-081,2025-12-03T09:30:00-05:00,2025-12-04T10:30:00-05:00,8,643.4042,664.85,17.399,644.4728,640.9908,34.242,-16.144,-12.517,neutral_up,636.2298,1.103,3.0193
META,META-082,2025-12-08T15:30:00-05:00,2025-12-09T10:30:00-05:00,2,667.03,655.5,17.9639,668.2508,665.0266,18.904,-4.258,-12.794,neutral,641.9855,3.1474,5.7558
META,META-083,2025-12-11T15:30:00-05:00,2025-12-16T15:30:00-05:00,21,652.78,657.15,16.9665,650.7979,652.8279,-8.24,7.918,19.793,neutral,645.8154,0.4115,3.8298
META,META-084,2025-12-17T14:30:00-05:00,2025-12-18T10:30:00-05:00,3,653.58,667.03,16.6451,655.3316,653.5984,7.131,-7.254,-33.193,neutral,647.3514,0.9799,0.9028
META,META-085,2025-12-19T15:30:00-05:00,2025-12-22T12:30:00-05:00,4,658.79,658.76,16.6589,664.165,661.8714,7.332,-26.103,-32.768,neutral,649.0716,1.5308,2.7001
META,META-086,2025-12-22T13:30:00-05:00,2025-12-29T12:30:00-05:00,24,660.325,656.64,16.3847,661.4465,661.2709,-8.529,2.798,-8.457,neutral,649.9551,0.8835,2.6037
